price,kilometrage,transmission,puissance_fiscale,car_age,is_new,price_per_fiscal,brand_encoded,body_type_encoded,model_encoded,fuel_diesel,fuel_electrique,fuel_essence,fuel_hybride
78000.0,0.08645910254102392,1.0,-0.014468701681598103,-0.6517974709530199,0,8666.666666666666,0.1714235032256855,1.7487897039120293,0.068732804213078,False,False,True,False
75000.0,0.6846091403156319,1.0,-0.014457960998823774,0.4134955520501627,0,7500.0,0.7168979404301677,0.12838915571849938,-0.16727016840171285,False,False,True,False
118000.0,0.43007720934771365,1.0,-0.014457960998823774,0.4134955520501627,0,11800.0,1.61783723340406,0.12838915571849938,0.8267724449304006,True,False,False,False
68000.0,-0.49896433868518825,1.0,-0.014500923729921091,-0.8648560755536564,0,11333.333333333334,-0.9936213437697933,1.7487897039120293,-0.17708726376838468,False,False,True,False
47000.0,0.11191229563781574,0.0,-0.014522405095469749,-0.8648560755536564,0,11750.0,-0.07526237887860447,-1.1334252924124224,-0.5744530777639784,False,False,True,False
44000.0,0.9391410712835503,0.0,-0.014490183047146762,1.0526713658520723,0,6285.714285714285,1.2004690324034661,-0.9346187243669639,-0.026885704658305653,False,False,True,False
42000.0,-0.10443984568491482,0.0,-0.01451166441269542,-0.22568026175174685,0,8400.0,-0.6547472531184948,-0.9346187243669639,-0.7548560497482442,False,False,True,False
44000.0,0.17554527837979533,0.0,-0.014479442364372434,1.0526713658520723,0,5500.0,0.11004421352280759,0.645607861430407,-0.6483078413686326,True,False,False,False
46000.0,0.5064367886380892,0.0,-0.01451166441269542,1.2657299704527087,0,9200.0,-0.32036319269464486,-0.9346187243669639,-0.726667004122192,False,False,True,False
69000.0,0.3282644369605463,1.0,-0.014500923729921091,-0.4387388663523834,0,11500.0,-0.32036319269464486,-0.9346187243669639,-0.27162723695701885,False,False,True,False
45000.0,-0.20625261807208214,0.0,-0.01451166441269542,-0.8648560755536564,0,9000.0,0.11004421352280759,-1.1334252924124224,-0.6599620002908548,False,False,True,False
145000.0,0.5573431748316728,1.0,-0.014425738950500788,0.6265541566507993,0,11153.846153846154,1.4293979033596458,1.7487897039120293,1.8967741324410399,True,False,False,False
85000.0,0.43007720934771365,1.0,-0.014468701681598103,0.8396127612514358,0,9444.444444444445,1.61783723340406,0.12838915571849938,0.8267724449304006,False,False,True,False
