model,model_encoded
Jimny 3 portes,89750.0
Jimny 5 portes,117000.0
Juke,46350.0
Jumper,39000.0
Jumpy,62964.28571428572
Jumpy Combi,80500.0
Jumpy Fourgon,72333.33333333333
K2700,44000.0
KUV 100,30318.18181818182
Ka,25542.85714285714
Kadjar,73570.0
Kamiq,74831.0
Kangoo,42875.0
King Cab,29000.0
Koleos,42750.0
Kona,92400.0
Korando,50375.0
Kuga,68056.125
Kwid Populaire,34250.0
L200,44142.857142857145
L200 Double Cabine,135000.0
L200 Sportero,102500.0
LC,42666.666666666664
Laguna,27500.0
Laguna Estate,30000.0
Lancer,29000.0
Land Cruiser,129000.0
Landtrek Double Cabine,84200.0
Landtrek Simple Cabine,54750.0
Leon,61183.333333333336
Leon SC,44225.0
Leon ST,57333.333333333336
Linea,23000.0
Lodgy,58000.0
Logan,22500.0
Logan MCV,40571.42857142857
M4,39500.0
M6,148000.0
ML,93400.0
MX3,63500.0
Macan,259900.0
Maruti,290000.0
Master,29333.333333333332
Megane,42073.68421052631
Megane Estate,41316.666666666664
Megane Sedan,48500.0
Megane coupé,35000.0
Metro,39000.0
Micra,28413.333333333332
Mito,27000.0
Mokka,61175.0
Mondeo,32400.0
Mustang,158750.0
NKR 66 Simple Cabine,115000.0
Navara,79800.0
Nemo,23076.923076923078
New Beetle,38500.0
Octavia,66933.33333333333
One,56456.666666666664
Optima,43666.666666666664
Optra,19875.0
Outlander,48000.0
Pajero,109333.33333333333
Pajero Sport,167500.0
Palio,19400.0
Palisade,250000.0
Panamera,169888.88888888888
Panda,35043.75
Panda City Cross,39350.0
Partner,43671.63157894737
Partner Origin Utilitaire,52000.0
Passat,66059.5744680851
Passat CC,44545.454545454544
Patriot,32555.5
Patrol GR,75000.0
Peugeot.206,19500.0
Picanto,43406.43548387097
Pick-up SC,19000.0
Pinto,17500.0
Poer AT,116666.66666666667
Poer MT,88000.0
Polo,42512.75
Polo Sedan,49277.77777777778
Porsche.Cayenne,129000.0
Prado,180500.0
Previa,41000.0
Puma,78000.0
Punto,24775.0
Q2,105400.0
Q3,95378.1
Q3 Sportback,148000.0
Q4 E-tron,170000.0
Q5,106370.37037037036
Q7,124350.0
Q8,337000.0
Q8 E-tron,185000.0
Q8 Sportback e-tron,300000.0
QQ,23150.0
QQ6,23750.0
Qashqai,62807.142857142855
RAV 4,88286.73913043478
RCZ,39900.0
Rafale,185000.0
Range Rover,350000.0
Range Rover Evoque,125000.0
Range Rover Sport,216538.46153846153
Range Rover Velar,238285.7142857143
Ranger,95766.66666666667
Ranger Raptor,155000.0
Renegade,76057.14285714286
Rexton,52500.0
Rifter,74000.0
Rio,45325.769230769234
Rio 5p,56228.57142857143
Rio Berline,47200.0
S2,87000.0
S3,189000.0
S5,97500.0
S50,39500.0
SX3,54800.0
SX4,53000.0
