body_type,body_type_encoded
Berline,121334.64835164836
Citadine,47936.63122923588
Compacte,84670.7722007722
Coupé,118313.88888888889
Monospace,97422.36842105263
Pick up,104683.28125
SUV,130854.1262349067
Utilitaire,61038.78666666667
