brand,model,price,kilometrage,body_type,fuel_type,transmission,puissance_fiscale,registration_year,new,fuel_type_simple,year_extracted
Volkswagen,Polo,35000.0,146500.0,Citadine,Essence,Manuelle,4 cv,5.2015,no,essence,2015.0
KIA,Sportage,117000.0,49000.0,SUV,Diesel,Automatique,8 cv,1.2021,no,diesel,2021.0
Volkswagen,Polo,48000.0,110000.0,Citadine,Essence,Manuelle,4 cv,5.2021,no,essence,2021.0
Volkswagen,Polo Sedan,38000.0,245000.0,Berline,Essence,Manuelle,5 cv,9.2017,no,essence,2017.0
KIA,Cerato KOUP,33500.0,76000.0,Coupé,Essence,Manuelle,7 cv,8.2012,no,essence,2012.0
Audi,A5 Cabriolet,65000.0,150000.0,Cabriolet,Essence,Automatique,8 cv,12.2012,no,essence,2012.0
MG,ZS,69500.0,55500.0,SUV,Essence,Automatique,6 cv,11.2021,no,essence,2021.0
MG,ZS,67500.0,59000.0,SUV,Essence,Manuelle,7 cv,5.2022,no,essence,2022.0
KIA,Seltos,84500.0,82500.0,SUV,Essence,Automatique,8 cv,5.2021,no,essence,2021.0
Hyundai,i30 Fastback,73000.0,88000.0,Berline,Essence,Automatique,7 cv,2.2022,no,essence,2022.0
Hyundai,i20,49900.0,72000.0,Citadine,Essence,Manuelle,5 cv,3.2023,no,essence,2023.0
Fiat,Panda City Cross,39700.0,97000.0,Citadine,Essence,Manuelle,4 cv,3.2022,no,essence,2022.0
Renault,Clio,45000.0,74000.0,Citadine,Essence,Manuelle,4 cv,11.2022,no,essence,2022.0
Mitsubishi,Lancer,29000.0,217000.0,Berline,Essence,Automatique,9 cv,8.2010,no,essence,2010.0
Mercedes-Benz,CLA,165000.0,41000.0,Berline,Essence,Automatique,7 cv,5.2023,no,essence,2023.0
Mercedes-Benz,CLA,240000.0,3588.0,Berline,Hybride rechargeable essence,Automatique,8 cv,8.2025,no,hybride,2025.0
Mercedes-Benz,GLE,270000.0,69000.0,SUV,Hybride rechargeable essence,Automatique,12 cv,2.2021,no,hybride,2021.0
Mercedes-Benz,CLA,150000.0,59423.0,Berline,Hybride rechargeable essence,Automatique,8 cv,9.2021,no,hybride,2021.0
Porsche,Panamera,175000.0,70520.0,Berline,Diesel,Automatique,15 cv,3.2012,no,diesel,2012.0
